Complexity,Loss,Equation
2,0.16905698,"f = -1.4234875; g = -1.0807182"
4,0.093787104,"f = #8 * -0.020812353; g = -1.3898666"
6,0.07223284,"f = -1.9657849; g = (#8 * -0.016223187) - 0.45309016"
8,0.05540843,"f = -2.2596226; g = ((#8 * -0.00025814027) * #8) + -0.57707655"
10,0.048426587,"f = -0.3062853; g = (#8 * ((#5 - #8) * 0.00039416656)) + -1.3163179"
12,0.045287754,"f = #6 + -2.5348146; g = ((#8 * (#5 - #8)) * 0.00039326304) + -0.7191665"
14,0.043077487,"f = #7 - 1.6655428; g = (#1 * 0.0064755213) + (((#8 * #8) * -0.0004742913) + -1.3907391)"
16,0.037924945,"f = (#7 + (#1 * -0.019751174)) - 0.5542832; g = (((#8 * -0.00042335424) + 0.03296496) * #1) + -2.6553926"
18,0.036321882,"f = #7 + ((#1 * -0.021653749) - 0.54068446); g = (#1 * (((#3 + #8) * -0.00044137807) + 0.03415351)) + -2.6450744"
20,0.035167426,"f = (#7 + (#1 * -0.023775147)) - 0.66400295; g = (#1 * (((#3 * -0.0014847332) + (#8 * -0.0004261935)) + 0.031799216)) + -2.392156"
22,0.033952177,"f = ((#8 * -0.007901133) + #7) - 1.1238261; g = -1.7573485 - (#8 * ((#1 * -0.00016065202) + ((#8 * 6.394175e-6) * (#7 * #8))))"
24,0.032556105,"f = (#7 + (#1 * -0.025520626)) - 0.6753542; g = (((#4 * #8) + #1) * ((#3 * -0.0016369624) + ((#8 * -0.00044337517) + 0.032348894))) + -2.3298686"
26,0.03184425,"f = (((#1 + #4) * -0.025915705) - 0.6987135) + #7; g = (((#8 * #4) + #1) * ((#8 * ((#3 * -3.1853677e-5) + -0.0004384776)) + 0.031750284)) + -2.28377"
28,0.03139088,"f = #7 - ((#8 * 0.008623632) + 1.0179595); g = (((((#3 * -2.5052752e-5) - -0.00018317241) * #1) + ((#8 * 6.8477357e-6) * (#7 * (#6 - #8)))) * #8) + -1.8822205"
30,0.03095133,"f = ((#8 * -0.008143248) + #7) - 0.97391963; g = (((((1.9415277 - #8) * (#8 * 6.8895597e-6)) * #7) + (((#3 * (#2 * -1.0442038e-6)) - -0.0001779675) * #1)) * #8) + -1.9394968"
32,0.030878095,"f = #7 + ((#8 * -0.0081618605) - 0.9739197); g = (((((1.8755869 - #8) * ((#3 - #8) * -6.9119137e-6)) * #7) + ((((#2 * -1.1808306e-6) * #3) - -0.0001790092) * #1)) * #8) + -1.9394968"
34,0.030833676,"f = (#7 + ((#8 * -0.008161142) - 0.9739197)) * 0.9807713; g = ((((1.8755869 - #8) * ((#7 - #8) * (-7.0062997e-6 * #7))) + ((((#2 * -1.0577264e-6) * #3) - -0.00017702795) * #1)) * #8) + -1.9394968"
