Complexity,Loss,Equation
2,0.16905698,"f = -1.4234875; g = -1.0807182"
4,0.09379255,"f = #8 * -0.021001065; g = -1.3890556"
6,0.07223284,"f = -1.9657849; g = (#8 * -0.016223187) - 0.45309016"
8,0.07045034,"f = #4 + -1.3859037; g = (#8 * -0.016607203) - 0.5491837"
10,0.069966264,"f = (#4 + -0.2528865) * 0.27861422; g = (#8 * -0.016680203) - 1.2275512"
14,0.06220271,"f = (#6 * 0.8462733) + -1.8855193; g = (#1 * 0.008002458) + ((#8 * -0.034977056) - 0.55789053)"
16,0.062198535,"f = (#6 * 0.84377986) + -1.8835839; g = ((#8 * -0.03507827) - -0.7294905) + ((#1 * 0.008010953) - 1.2835357)"
18,0.053765405,"f = (((#4 * (#8 * #4)) - -0.55560905) * -1.7593639) + 0.10313881; g = -0.74641633 - (#1 * (#8 * 0.000108471926))"
22,0.04738337,"f = (-0.679273 - #1) * 4.4110436; g = ((#1 * 0.006091175) - ((-2.6627698 - #8) * ((-1.0815482 - #8) * 0.00043826))) - (0.598274 + 0.006091175)"
26,0.044383466,"f = -1.8960528 - #8; g = (((#4 * 0.244566) - #6) + ((#1 * 0.0061159544) + (#6 - ((-2.6625924 - #8) * ((-2.637695 - #8) * 0.00043903012))))) - 0.6005443"
28,0.043308303,"f = (-2.415649 - #8) * 0.45011938; g = ((#4 * 0.21810295) - #6) + ((((#1 * 0.0074932342) + #6) - ((-0.78258437 - #8) * ((-1.9111855 - #8) * 0.00048620382))) - 0.6923003)"
30,0.041657336,"f = ((-2.6437624 - #8) * 0.35157174) - #4; g = ((((#1 * 0.00809322) + ((#4 * 0.38747433) - #6)) + #6) - ((-2.6624432 - #8) * ((-2.6375465 - #8) * 0.00048673828))) - 0.694984"
